Timestamp,What faculty are you in?,What level are you in?,Where do you usually study in OAU? ,When do you usually study?,How do you prefer to study?,Reason for preferred mode(s) of study above,What study methods do you use most?,Which of these challenges affect you most when studying on campus?,How do you feel a day before exams?,How many hours of sleep do you usually get before exams?,What helps you reduce stress during exams?,What’s your biggest challenge when preparing for exams at OAU?,"If you had to give one study tip to a fellow OAU student, what would it be?"
06/09/2025 08:58:34,Technology,200L,"Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Hostels (Awo, Angola, Mozambique, etc.), Open spaces (Amphi, SUB, halls)",Overnight (12am – 6am),Alone,I prefer the quietness ,"Reading notes/handouts, Past questions (PQ), Tutorials","Noise in Education/lecture theatres, Overcrowded library, Poor internet connection, Lack of motivation/focus",Nervous but prepared,3–5 hours,Talking to friends,Consistency ,Read as much as you can before exam starts 
06/09/2025 09:12:39,English ,200L,"Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Faculty(department) library",Overnight (12am – 6am),Both,,Group discussions,Power outage at night,Nervous but prepared,Less than 3 hours,"Music at SUB/hostel, Prayer/meditation",Memorising words ,"Start studying from the first day of school, and don't miss lectures"
06/09/2025 09:23:11,Administration ,100L,"Hostels (Awo, Angola, Mozambique, etc.)",Night (6pm – 12am),Alone,Comfortability ,Reading notes/handouts,Lack of motivation/focus,Nervous but prepared,6–8 hours,Music at SUB/hostel,Not knowing what to read 😭 😭😭,Read the way it is comfortable for you
06/09/2025 09:28:12,Technology,300L,"Hezekiah Oluwasanmi Library (main library), Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Hostels (Awo, Angola, Mozambique, etc.), Faculty(department) library, Open spaces (Amphi, SUB, halls)",Day before exam only,Alone,,"Reading notes/handouts, Past questions (PQ), Tutorials, Watching online lectures","Noise in Education/lecture theatres, Power outage at night, Overcrowded library, Poor internet connection, Lack of motivation/focus, Exam stress/panic",Panicking/cramming overnight,Less than 3 hours,"Prayer/meditation, Sleeping",I needed to always consume volume of books,Start reading early
06/09/2025 09:28:44,Technology,200L,"Hezekiah Oluwasanmi Library (main library), Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Faculty(department) library",Overnight (12am – 6am),Both,,"Reading notes/handouts, Past questions (PQ), Tutorials, Group discussions","Noise in Education/lecture theatres, Power outage at night",Nervous but prepared,6–8 hours,"Prayer/meditation, Sleeping",The lecturers deciding to set their questions from their own scope of knowledge rather than what they actually taught.,Form a study group of serious people. Sleep before sitting for any exam. Pray to God for understanding and retentive memory.
06/09/2025 09:30:58,Social Sciences,400L+,"Hezekiah Oluwasanmi Library (main library), Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Hostels (Awo, Angola, Mozambique, etc.), Faculty(department) library, Open spaces (Amphi, SUB, halls)",Afternoon (12pm – 6pm),Both,,"Reading notes/handouts, Past questions (PQ), Tutorials, Watching online lectures, Group discussions","Noise in Education/lecture theatres, Power outage at night, Heat/poor ventilation in halls, Overcrowded library, Poor internet connection, Lack of motivation/focus, Exam stress/panic",Nervous but prepared,Less than 3 hours,"Music at SUB/hostel, Talking to friends, Prayer/meditation, Sleeping, Walking around campus",Na,Na
06/09/2025 09:31:30,Science,400L+,"Hezekiah Oluwasanmi Library (main library), Lecture theatres (Oduduwa, ODLT, BOOC, etc.)",Overnight (12am – 6am),Alone,Efficiency ,"Reading notes/handouts, Past questions (PQ), Tutorials, Watching online lectures","Noise in Education/lecture theatres, Power outage at night, Overcrowded library, Exam stress/panic",Tired/exhausted,Less than 3 hours,"Sleeping, Walking around campus",Not able to cover the topics taught ,Start studying few weeks after resumption it helps alot
06/09/2025 09:36:09,Technology,200L,"Hostels (Awo, Angola, Mozambique, etc.), Faculty(department) library",Night (6pm – 12am),Alone,I move at my own pace,"Reading notes/handouts, Past questions (PQ), Watching online lectures",Power outage at night,Calm and confident,6–8 hours,"Talking to friends, Sleeping, Reading, listening to music ",Nothing really.,Don't wait until it's three days to the exam to start preparing. Start early!
06/09/2025 09:39:25,Technology,400L+,"Lecture theatres (Oduduwa, ODLT, BOOC, etc.), Hostels (Awo, Angola, Mozambique, etc.), Faculty(department) library",Overnight (12am – 6am),Both,,"Reading notes/handouts, Past questions (PQ)","Noise in Education/lecture theatres, Power outage at night, Overcrowded library, Exam stress/panic",Calm and confident,3–5 hours,"Prayer/meditation, Sleeping",Not having up to date materials ,Start reading way before the exam period.
06/09/2025 09:39:37,Technology,200L,"Lecture theatres (Oduduwa, ODLT, BOOC, etc.)",Overnight (12am – 6am),Both,,"Reading notes/handouts, Past questions (PQ), Tutorials","Noise in Education/lecture theatres, Power outage at night",Nervous but prepared,Less than 3 hours,"Music at SUB/hostel, Prayer/meditation",The dates for the exams are always too close to each other ,Start reading at the beginning of the semester and always pray.
